"조회기간 : 2020.01 ~ 2020.12, 여객 : 전체, 화물 : 전체, 운항 : 전체, 노선 : 전체, 공항 : 인천(ICN), 상대공항 : 전체, 출발/도착 : 출발",,,,
노선1,노선2,운항(편),여객(명),화물(톤)
인천(ICN),오크랜드(미)(OAK),80,0,0
인천(ICN),우타파오(UTP),1,0,38
인천(ICN),이스탄불(ISL),103,0,"8,036"
인천(ICN),인디아나폴리스(IND),294,0,0
인천(ICN),찰스턴 뮤니시플(CHS),3,0,0
인천(ICN),취리히(ZRH),51,0,30
인천(ICN),카라간다(KGF),3,0,136
인천(ICN),카옌로 샹부(CAY),1,0,0
인천(ICN),크라스노얄스크(KJA),2,0,0
인천(ICN),파탕콕 공항(IXP),1,0,0
인천(ICN),페낭(PEN),383,0,"8,071"
인천(ICN),피츠버그(PIT),1,0,0
인천(ICN),헌츠빌(HSV),1,0,86
인천(ICN),헤이다르 알리예프(GYD),178,0,"13,601"
인천(ICN),헬리팍스(YHZ),8,0,0
인천(ICN),카잔(KZN),0,0,0
인천(ICN),에드먼튼(YEG),0,0,41
인천(ICN),페트로파블로브스키(PKC),0,0,0
인천(ICN),퀼른(CGN),0,0,"2,972"
인천(ICN),마리(MYP),0,0,0
